index,year,Greenland,North America,Norway,Svalbard,Iceland,Russian High Arctic Islands,Finland,Eurasia,North Atlantic,Gulf of Bothnia,Baffin Bay,Hudson Bay,Arctic Ocean,Northern Hemisphere,Global,Arctic
27,1977,-18.643587946891785,-10.038462842504183,0.6944475571314493,-9.851780489087105,1.2111495385567348,-13.116049453616142,1.3453344826896985,-7.992105046908061,-1.9744649333879352,3.8930812614659467,-7.486991584300995,-8.103913933038712,-14.421807199716568,4.784121076265971,4.7007923523585005,-13.21721863746643
28,1978,-18.994944512844086,-10.88247960805893,0.34518951177597046,-10.290218606591225,1.169769028822581,-13.513221288720766,0.02166818579037984,-7.739309700826804,-1.9571557616194089,3.2903731067975364,-9.695080691327652,-11.75697043289741,-13.973573864748081,4.730619395772616,4.638768653074901,-13.165657276908556
29,1979,-19.0840669075648,-10.893880615631739,0.4179503346482913,-10.131476600964865,-0.16174344221750894,-13.843411847949028,1.465237199018399,-8.619960198799768,-1.5155770561347406,3.1869454830884933,-7.784980783859889,-9.911556204160055,-13.818225305527449,4.807679176330566,4.829115629196167,-13.101792501906553
30,1980,-18.004931807518005,-10.168904652198156,0.8154940331975619,-10.07222267985344,1.8709739645322163,-12.537632301449776,0.9970671534538269,-7.600841172039509,-1.293995554248492,3.1066714672682187,-6.940441956122716,-9.140213381499052,-13.252709607283274,5.055313030878703,5.152664303779602,-12.358811949690184
31,1981,-19.029818852742512,-8.711183492831575,0.2022226353486379,-9.917804976304373,0.6984479427337646,-11.944632788499197,1.1411649684111278,-6.275567119320233,-1.494616085042556,3.1546575501561165,-7.349049339691798,-7.535707930723826,-12.278640175859133,5.498980085055034,5.275017082691193,-11.610982646544775
32,1982,-19.41593325138092,-11.644210619231066,1.6807444492975872,-9.693698632220427,1.4807381679614384,-13.04951465378205,1.8554814892510574,-7.664960170785586,-1.3734152068694432,4.042494188567313,-9.022454501440128,-10.6452128191789,-13.059883719931046,4.868506501118342,4.94252343972524,-12.584549382328987
33,1983,-20.41134027640025,-11.011871974915266,1.7614249289035797,-9.256804501016935,0.9885196089744568,-11.76711517572403,2.04404079914093,-6.199138715863228,-1.552876390516758,4.753612120946248,-10.678529664874077,-10.74640783170859,-12.938231947521368,5.109446821113427,5.099173128604889,-12.403284147381783
34,1984,-19.243913888931274,-11.053355942169825,1.8997832636038463,-5.670426953583956,2.2361687223116555,-9.597763260205587,2.61592760682106,-7.415212333202362,-0.5107877627015114,4.661305586496989,-10.276769136389097,-10.237557649612427,-12.337418753653765,5.095564012726148,5.024393737316132,-11.884247968594233
35,1985,-18.26883927981059,-10.503465125958124,-0.1764103869597117,-7.78388936072588,1.5704632451136906,-10.915410646496943,-0.438010573387146,-7.677556294947863,-1.1337204078833263,1.8476544320583344,-7.283461093902588,-8.94774960478147,-12.785856716955701,4.992159063617389,4.898439824581146,-12.102125108242035
36,1986,-18.62842055161794,-11.262049350887537,0.875461017092069,-9.067217146356901,1.7100574808816116,-12.468345294396082,1.256845513979594,-7.180898584425449,-1.2758298913637798,3.2712088028589883,-8.406566909203926,-10.563548783461252,-13.432040942211946,4.956543887654941,4.928901135921478,-12.662220443288485
37,1987,-18.363256374994915,-10.272862980763117,0.42724848290284473,-9.657591335475445,2.8883130376537642,-13.016825735569,-0.09988730649153392,-8.714016819993654,-1.3814293282727401,1.936352163553238,-8.937063048283258,-9.576226284106573,-14.337019835909208,4.819079839314024,4.9286710023880005,-13.266458004713058
