index,year0,year1,mid_year,Arctic,Global,ratio_HadCRUT4_CW2014
132,1983.0,2012.0,1997.5,2.3548021974360824,0.5766546846446261,4.083556867117575
133,1984.0,2013.0,1998.5,2.272601497258106,0.5859975323708837,3.8781758825218975
134,1985.0,2014.0,1999.5,2.3199681182814604,0.568609747622171,4.080070959006896
135,1986.0,2015.0,2000.5,2.382667895706351,0.5670388049952623,4.201948569862443
136,1987.0,2016.0,2001.5,2.589638642803157,0.5860544487782693,4.418767997072117
137,1988.0,2017.0,2002.5,2.500675661596291,0.5951811166157659,4.2015372997975415
138,1989.0,2018.0,2003.5,2.534662139349332,0.5966243634020907,4.248338309377948
139,1990.0,2019.0,2004.5,2.5674311230367426,0.5956186656455942,4.3105283147127205
140,1991.0,2020.0,2005.5,2.6817692047608856,0.63062604071001,4.25255069032914
141,1992.0,2021.0,2006.5,2.7128748821746655,0.6260095331103543,4.333599951258943
